iter	Passed	Remaining
0	158	157909
1	159	79479
2	161	53565
3	162	40455
4	163	32619
5	165	27402
6	166	23637
7	168	20905
8	170	18749
9	171	16967
10	172	15538
11	174	14327
12	175	13300
13	176	12426
14	178	11691
15	179	11039
16	182	10559
17	184	10050
18	185	9590
19	186	9159
20	187	8757
21	189	8414
22	190	8079
23	191	7777
24	192	7495
25	193	7239
26	194	6999
27	195	6797
28	197	6626
29	199	6440
30	200	6257
31	201	6095
32	202	5941
33	203	5793
34	205	5656
35	206	5524
36	207	5401
37	208	5284
38	210	5176
39	211	5084
40	212	4979
41	214	4888
42	215	4795
43	216	4709
44	217	4621
45	218	4538
46	219	4460
47	221	4383
48	221	4307
49	222	4235
50	223	4167
51	225	4118
52	227	4064
53	228	4008
54	230	3953
55	231	3899
56	232	3849
57	233	3799
58	235	3749
59	236	3700
60	237	3654
61	238	3612
62	240	3578
63	241	3538
64	243	3503
65	244	3466
66	246	3428
67	247	3393
68	248	3358
69	250	3326
70	251	3294
71	253	3263
72	255	3244
73	257	3218
74	258	3189
75	260	3161
76	261	3133
77	262	3105
78	264	3080
79	265	3054
80	266	3029
81	268	3006
82	269	2977
83	270	2953
84	272	2928
85	273	2906
86	274	2883
87	275	2860
88	277	2836
89	278	2812
90	279	2789
91	280	2769
92	281	2747
93	284	2738
94	285	2721
95	288	2712
96	289	2694
97	290	2677
98	292	2658
99	293	2641
100	294	2624
101	296	2607
102	299	2606
103	301	2593
104	303	2582
105	304	2568
106	306	2554
107	307	2538
108	308	2521
109	309	2507
110	311	2495
111	313	2488
112	315	2476
113	317	2465
114	318	2452
115	319	2436
116	320	2419
117	322	2407
118	323	2393
119	324	2378
120	325	2367
121	327	2360
122	329	2350
123	331	2339
124	332	2327
125	333	2315
126	335	2304
127	336	2293
128	337	2281
129	339	2270
130	340	2261
131	343	2256
132	344	2247
133	346	2236
134	347	2225
135	348	2216
136	350	2207
137	351	2196
138	353	2189
139	354	2179
140	356	2169
141	357	2159
142	358	2151
143	360	2142
144	361	2132
145	362	2122
146	364	2112
147	365	2103
148	366	2094
149	368	2087
150	369	2078
151	371	2070
152	373	2069
153	374	2059
154	375	2049
155	377	2041
156	378	2032
157	379	2024
158	381	2015
159	382	2007
160	383	1998
161	384	1991
162	386	1986
163	388	1982
164	390	1975
165	392	1970
166	393	1964
167	396	1961
168	397	1954
169	398	1947
170	400	1939
171	401	1934
172	403	1930
173	405	1923
174	406	1917
175	407	1909
176	408	1901
177	410	1895
178	411	1888
179	413	1882
180	414	1875
181	415	1868
182	417	1865
183	419	1859
184	420	1853
185	421	1846
186	423	1841
187	425	1836
188	426	1831
189	427	1824
190	429	1820
191	432	1819
192	433	1813
193	435	1808
194	436	1803
195	438	1798
196	439	1792
197	440	1785
198	441	1778
199	443	1774
200	445	1769
201	447	1769
202	449	1764
203	450	1758
204	452	1753
205	453	1747
206	454	1741
207	455	1735
208	457	1731
209	458	1726
210	460	1721
211	461	1715
212	462	1709
213	463	1703
214	464	1697
215	467	1696
216	468	1692
217	470	1687
218	471	1682
219	473	1678
220	474	1673
221	477	1674
222	479	1671
223	481	1667
224	483	1664
225	484	1660
226	486	1656
227	487	1651
228	489	1647
229	490	1642
230	492	1639
231	493	1634
232	495	1629
233	496	1625
234	497	1619
235	498	1614
236	499	1609
237	501	1604
238	502	1600
239	503	1595
240	505	1590
241	507	1589
242	509	1586
243	511	1583
244	513	1581
245	514	1577
246	516	1573
247	517	1568
248	518	1564
249	521	1565
250	523	1562
251	526	1562
252	528	1561
253	530	1557
254	531	1553
255	533	1549
256	534	1545
257	537	1544
258	539	1542
259	540	1539
260	542	1535
261	544	1533
262	545	1529
263	547	1525
264	548	1521
265	550	1519
266	552	1516
267	553	1512
268	555	1508
269	556	1504
270	557	1500
271	558	1496
272	560	1491
273	561	1487
274	562	1482
275	566	1485
276	569	1486
277	570	1482
278	572	1478
279	573	1474
280	574	1470
281	576	1466
282	577	1462
283	578	1458
284	579	1453
285	581	1451
286	582	1448
287	584	1444
288	585	1440
289	586	1436
290	588	1432
291	589	1429
292	590	1425
293	592	1422
294	593	1418
295	595	1417
296	597	1414
297	598	1410
298	599	1405
299	601	1402
300	602	1398
301	603	1394
302	605	1391
303	606	1388
304	607	1385
305	609	1381
306	611	1379
307	612	1376
308	614	1373
309	615	1369
310	616	1366
311	617	1362
312	618	1358
313	619	1354
314	621	1350
315	622	1347
316	624	1344
317	625	1342
318	627	1339
319	629	1337
320	630	1334
321	632	1331
322	633	1328
323	634	1324
324	636	1321
325	637	1318
326	640	1318
327	642	1316
328	643	1313
329	645	1309
330	646	1306
331	647	1302
332	648	1299
333	649	1295
334	651	1292
335	652	1289
336	654	1287
337	656	1285
338	657	1282
339	659	1280
340	661	1277
341	662	1274
342	663	1271
343	665	1268
344	666	1265
345	667	1262
346	669	1259
347	670	1257
348	672	1254
